CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TotalQuantity,Cluster_2,Cluster_3,Cluster_4,Cluster,Hierarchical_2,Hierarchical_3,Hierarchical_4,DBSCAN_Cluster,Anomaly
12346.0,326,1,77183.6,77183.6,1,74215,0,0,1,1,1,0,0,-1,-1
12347.0,2,7,4310.0,23.68131868131868,103,2458,0,0,2,2,1,0,3,0,1
12348.0,75,4,1797.24,57.97548387096774,22,2341,0,0,1,1,1,0,0,0,1
12349.0,19,1,1757.55,24.076027397260276,73,631,0,1,0,0,1,0,3,0,1
12350.0,310,1,334.4,19.670588235294115,17,197,1,2,3,3,0,1,1,0,1
12352.0,36,8,2506.04,29.482823529411764,59,536,0,0,2,2,1,0,0,0,1
12353.0,204,1,89.0,22.25,4,20,1,2,3,3,0,1,1,0,1
12354.0,232,1,1079.4,18.610344827586207,58,530,1,1,0,0,0,2,2,0,1
12355.0,214,1,459.4,35.33846153846154,13,240,1,2,3,3,0,1,1,0,1
12356.0,23,3,2811.43,47.65135593220339,53,1591,0,0,0,0,1,0,0,0,1
12357.0,33,1,6207.67,47.38679389312977,131,2708,0,0,0,0,1,0,3,-1,1
12358.0,2,2,1168.06,61.47684210526315,13,248,1,1,1,1,1,0,0,-1,1
12359.0,58,4,6310.03,25.75522448979592,214,1609,0,0,2,2,1,0,3,0,1
12360.0,52,3,2662.06,20.63612403100775,105,1165,0,1,0,0,1,0,3,0,1
12361.0,287,1,189.9,18.99,10,91,1,2,3,3,0,1,1,0,1
12362.0,3,10,5226.23,19.64748120300752,201,2229,0,0,2,2,1,0,3,0,1
12363.0,110,2,552.0,24.0,23,408,1,1,0,0,0,2,2,0,1
12364.0,8,4,1313.1,15.448235294117646,70,1506,0,0,0,0,1,0,3,0,1
12365.0,291,2,641.38,29.15363636363636,22,174,1,2,3,3,0,1,1,0,1
12367.0,4,1,168.9,15.354545454545455,11,173,1,2,3,3,0,1,1,0,1
12370.0,51,4,3541.94,21.33698795180723,143,2352,0,0,2,2,1,0,3,0,1
12371.0,45,2,1887.96,29.96761904761905,63,591,0,1,0,0,0,2,2,0,1
12372.0,72,3,1298.04,24.962307692307693,34,794,0,1,0,0,1,0,3,0,1
12373.0,311,1,364.6,26.042857142857144,14,197,1,2,3,3,0,1,1,0,1
12374.0,25,1,742.9300000000001,22.513030303030305,33,342,1,1,0,0,0,2,2,0,1
12375.0,11,2,457.5,26.91176470588235,14,178,1,1,0,0,0,2,2,0,1
12377.0,315,2,1628.12,21.144415584415583,72,944,1,1,0,0,1,0,3,0,1
12378.0,130,1,4008.62,18.30420091324201,219,2529,0,1,0,0,1,0,3,-1,1
